~iteration~,embedding_size,memory_size,queue_idx
791,128,4096,2048
792,128,4096,2304
793,128,4096,2560
794,128,4096,2816
795,128,4096,3072
796,128,4096,3328
797,128,4096,3584
798,128,4096,3840
799,128,4096,0
800,128,4096,256
801,128,4096,512
802,128,4096,768
803,128,4096,1024
804,128,4096,1280
805,128,4096,1536
806,128,4096,1792
807,128,4096,2048
808,128,4096,2304
809,128,4096,2560
810,128,4096,2816
811,128,4096,3072
812,128,4096,3328
813,128,4096,3584
814,128,4096,3840
815,128,4096,0
816,128,4096,256
817,128,4096,512
818,128,4096,768
819,128,4096,1024
820,128,4096,1280
821,128,4096,1536
822,128,4096,1792
823,128,4096,2048
824,128,4096,2304
825,128,4096,2560
826,128,4096,2816
827,128,4096,3072
828,128,4096,3328
829,128,4096,3584
830,128,4096,3840
831,128,4096,0
832,128,4096,256
833,128,4096,512
834,128,4096,768
835,128,4096,1024
836,128,4096,1280
837,128,4096,1536
838,128,4096,1792
839,128,4096,2048
840,128,4096,2304
841,128,4096,2560
842,128,4096,2816
843,128,4096,3072
844,128,4096,3328
845,128,4096,3584
846,128,4096,3840
847,128,4096,0
848,128,4096,256
849,128,4096,512
850,128,4096,768
851,128,4096,1024
852,128,4096,1280
853,128,4096,1536
854,128,4096,1792
855,128,4096,2048
856,128,4096,2304
857,128,4096,2560
858,128,4096,2816
859,128,4096,3072
860,128,4096,3328
861,128,4096,3584
862,128,4096,3840
863,128,4096,0
864,128,4096,256
865,128,4096,512
866,128,4096,768
867,128,4096,1024
868,128,4096,1280
869,128,4096,1536
870,128,4096,1792
871,128,4096,2048
872,128,4096,2304
873,128,4096,2560
874,128,4096,2816
875,128,4096,3072
876,128,4096,3328
877,128,4096,3584
878,128,4096,3840
879,128,4096,0
880,128,4096,256
881,128,4096,512
882,128,4096,768
883,128,4096,1024
884,128,4096,1280
885,128,4096,1536
886,128,4096,1792
887,128,4096,2048
888,128,4096,2304
889,128,4096,2560
890,128,4096,2816
891,128,4096,3072
892,128,4096,3328
893,128,4096,3584
894,128,4096,3840
895,128,4096,0
896,128,4096,256
897,128,4096,512
898,128,4096,768
899,128,4096,1024
900,128,4096,1280
901,128,4096,1536
902,128,4096,1792
903,128,4096,2048
904,128,4096,2304
905,128,4096,2560
906,128,4096,2816
907,128,4096,3072
908,128,4096,3328
909,128,4096,3584
910,128,4096,3840
911,128,4096,0
912,128,4096,256
913,128,4096,512
914,128,4096,768
915,128,4096,1024
916,128,4096,1280
917,128,4096,1536
918,128,4096,1792
919,128,4096,2048
920,128,4096,2304
921,128,4096,2560
922,128,4096,2816
923,128,4096,3072
924,128,4096,3328
925,128,4096,3584
926,128,4096,3840
927,128,4096,0
928,128,4096,256
929,128,4096,512
930,128,4096,768
931,128,4096,1024
932,128,4096,1280
933,128,4096,1536
934,128,4096,1792
935,128,4096,2048
936,128,4096,2304
937,128,4096,2560
938,128,4096,2816
939,128,4096,3072
940,128,4096,3328
941,128,4096,3584
942,128,4096,3840
943,128,4096,0
944,128,4096,256
945,128,4096,512
946,128,4096,768
947,128,4096,1024
948,128,4096,1280
949,128,4096,1536
950,128,4096,1792
951,128,4096,2048
952,128,4096,2304
953,128,4096,2560
954,128,4096,2816
955,128,4096,3072
956,128,4096,3328
957,128,4096,3584
958,128,4096,3840
959,128,4096,0
960,128,4096,256
961,128,4096,512
962,128,4096,768
963,128,4096,1024
964,128,4096,1280
965,128,4096,1536
966,128,4096,1792
967,128,4096,2048
968,128,4096,2304
969,128,4096,2560
970,128,4096,2816
971,128,4096,3072
972,128,4096,3328
973,128,4096,3584
974,128,4096,3840
975,128,4096,0
976,128,4096,256
977,128,4096,512
978,128,4096,768
979,128,4096,1024
980,128,4096,1280
981,128,4096,1536
982,128,4096,1792
983,128,4096,2048
984,128,4096,2304
985,128,4096,2560
986,128,4096,2816
987,128,4096,3072
988,128,4096,3328
989,128,4096,3584
990,128,4096,3840
991,128,4096,0
992,128,4096,256
993,128,4096,512
994,128,4096,768
995,128,4096,1024
996,128,4096,1280
997,128,4096,1536
998,128,4096,1792
999,128,4096,2048
1000,128,4096,2304
1001,128,4096,2560
1002,128,4096,2816
1003,128,4096,3072
1004,128,4096,3328
1005,128,4096,3584
1006,128,4096,3840
1007,128,4096,0
1008,128,4096,256
1009,128,4096,512
1010,128,4096,768
1011,128,4096,1024
1012,128,4096,1280
1013,128,4096,1536
1014,128,4096,1792
1015,128,4096,2048
1016,128,4096,2304
1017,128,4096,2560
1018,128,4096,2816
1019,128,4096,3072
1020,128,4096,3328
1021,128,4096,3584
1022,128,4096,3840
1023,128,4096,0
1024,128,4096,256
1025,128,4096,512
1026,128,4096,768
1027,128,4096,1024
1028,128,4096,1280
1029,128,4096,1536
1030,128,4096,1792
1031,128,4096,2048
1032,128,4096,2304
1033,128,4096,2560
1034,128,4096,2816
1035,128,4096,3072
1036,128,4096,3328
1037,128,4096,3584
1038,128,4096,3840
1039,128,4096,0
1040,128,4096,256
1041,128,4096,512
1042,128,4096,768
1043,128,4096,1024
1044,128,4096,1280
1045,128,4096,1536
1046,128,4096,1792
1047,128,4096,2048
1048,128,4096,2304
1049,128,4096,2560
1050,128,4096,2816
1051,128,4096,3072
1052,128,4096,3328
1053,128,4096,3584
1054,128,4096,3840
1055,128,4096,0
1056,128,4096,256
1057,128,4096,512
1058,128,4096,768
1059,128,4096,1024
1060,128,4096,1280
1061,128,4096,1536
1062,128,4096,1792
1063,128,4096,2048
1064,128,4096,2304
1065,128,4096,2560
1066,128,4096,2816
1067,128,4096,3072
1068,128,4096,3328
1069,128,4096,3584
1070,128,4096,3840
1071,128,4096,0
1072,128,4096,256
1073,128,4096,512
1074,128,4096,768
1075,128,4096,1024
1076,128,4096,1280
1077,128,4096,1536
1078,128,4096,1792
1079,128,4096,2048
1080,128,4096,2304
1081,128,4096,2560
1082,128,4096,2816
1083,128,4096,3072
1084,128,4096,3328
1085,128,4096,3584
1086,128,4096,3840
1087,128,4096,0
1088,128,4096,256
1089,128,4096,512
1090,128,4096,768
1091,128,4096,1024
1092,128,4096,1280
1093,128,4096,1536
1094,128,4096,1792
1095,128,4096,2048
1096,128,4096,2304
1097,128,4096,2560
1098,128,4096,2816
1099,128,4096,3072
1100,128,4096,3328
1101,128,4096,3584
1102,128,4096,3840
1103,128,4096,0
1104,128,4096,256
1105,128,4096,512
1106,128,4096,768
1107,128,4096,1024
1108,128,4096,1280
1109,128,4096,1536
1110,128,4096,1792
1111,128,4096,2048
1112,128,4096,2304
1113,128,4096,2560
1114,128,4096,2816
1115,128,4096,3072
1116,128,4096,3328
1117,128,4096,3584
1118,128,4096,3840
1119,128,4096,0
1120,128,4096,256
1121,128,4096,512
1122,128,4096,768
1123,128,4096,1024
1124,128,4096,1280
1125,128,4096,1536
1126,128,4096,1792
1127,128,4096,2048
1128,128,4096,2304
1129,128,4096,2560
1130,128,4096,2816
1131,128,4096,3072
1132,128,4096,3328
1133,128,4096,3584
1134,128,4096,3840
1135,128,4096,0
1136,128,4096,256
1137,128,4096,512
1138,128,4096,768
1139,128,4096,1024
1140,128,4096,1280
1141,128,4096,1536
1142,128,4096,1792
1143,128,4096,2048
1144,128,4096,2304
1145,128,4096,2560
1146,128,4096,2816
1147,128,4096,3072
1148,128,4096,3328
1149,128,4096,3584
